player_name,stat_type,line,description,start_time,team,odds_type,adjusted_odds,pick_type,flash_sale_line,is_promo
Victor Wembanyama,Fantasy Score,52.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,standard,False,Standard,,False
Victor Wembanyama,Pts+Rebs+Asts,49.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,demon,True,"Demon (harder, higher payout)",,False
Victor Wembanyama,Pts+Rebs,44.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,demon,True,"Demon (harder, higher payout)",,False
Victor Wembanyama,Pts+Rebs+Asts,44.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,demon,True,"Demon (harder, higher payout)",,False
Brandon Ingram + Victor Wembanyama,Points (Combo),44.5,SAS/TOR,2026-02-25T19:40:00.000-05:00,TOR/SAS,standard,False,Standard,,False
Victor Wembanyama,Pts+Rebs+Asts,42.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,demon,True,"Demon (harder, higher payout)",,False
RJ Barrett + Victor Wembanyama,Points (Combo),40.0,SAS/TOR,2026-02-25T19:40:00.000-05:00,TOR/SAS,standard,False,Standard,,False
Victor Wembanyama,Pts+Rebs,39.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,demon,True,"Demon (harder, higher payout)",,False
Brandon Ingram,Pts+Rebs,39.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,demon,True,"Demon (harder, higher payout)",,False
Immanuel Quickley + Victor Wembanyama,Points (Combo),39.5,SAS/TOR,2026-02-25T19:40:00.000-05:00,TOR/SAS,standard,False,Standard,,False
Scottie Barnes,Fantasy Score,39.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,standard,False,Standard,,False
Victor Wembanyama,Pts+Rebs+Asts,38.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,standard,,Standard,,False
Brandon Ingram,Pts+Rebs+Asts,38.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,demon,True,"Demon (harder, higher payout)",,False
Brandon Ingram + De'Aaron Fox,Points (Combo),38.0,SAS/TOR,2026-02-25T19:40:00.000-05:00,TOR/SAS,standard,False,Standard,,False
Scottie Barnes,Pts+Rebs+Asts,37.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,demon,True,"Demon (harder, higher payout)",,False
Brandon Ingram + Stephon Castle,Points (Combo),37.0,SAS/TOR,2026-02-25T19:40:00.000-05:00,TOR/SAS,standard,False,Standard,,False
Brandon Ingram,Pts+Rebs+Asts,36.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,demon,True,"Demon (harder, higher payout)",,False
Brandon Ingram,Fantasy Score,36.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,standard,False,Standard,,False
Scottie Barnes,Pts+Rebs+Asts,35.5,SAS,2026-02-25T19:40:00.000-05:00,TOR,demon,True,"Demon (harder, higher payout)",,False
Victor Wembanyama,Pts+Rebs+Asts,35.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,goblin,True,"Goblin (easier, lower payout)",,False
Victor Wembanyama,Points,34.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,demon,True,"Demon (harder, higher payout)",,False
Victor Wembanyama,Pts+Rebs,34.5,TOR,2026-02-25T19:40:00.000-05:00,SAS,standard,,Standard,,False
