player_name,stat_type,line,description,start_time,team,odds_type,adjusted_odds,pick_type,flash_sale_line,is_promo
Tyrese Maxey,Fantasy Score,50.0,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,False,Standard,,False
Tyrese Maxey + Norman Powell,Points (Combo),49.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Joel Embiid,Pts+Rebs,49.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid + Norman Powell,Points (Combo),48.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Joel Embiid,Pts+Rebs+Asts,45.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Fantasy Score,45.0,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,False,Standard,,False
Tyrese Maxey,Pts+Rebs+Asts,44.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Rebs,44.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Asts,44.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs,44.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Asts,44.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Rebs+Asts,43.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs+Asts,42.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Rebs+Asts,40.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,,Standard,,False
Joel Embiid,Points,39.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs+Asts,39.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,,Standard,,False
Joel Embiid,Pts+Asts,39.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Rebs,39.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Asts,39.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs,39.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Rebs+Asts,38.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Joel Embiid,Pts+Rebs+Asts,37.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Tyrese Maxey,Pts+Rebs+Asts,37.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Bam Adebayo,Pts+Rebs+Asts,36.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs+Asts,36.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Kelly Oubre + Norman Powell,Points (Combo),36.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Bam Adebayo,Fantasy Score,36.0,PHI,2026-02-26T19:10:00.000-05:00,MIA,standard,False,Standard,,False
Joel Embiid,Pts+Rebs,35.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,,Standard,,False
VJ Edgecombe + Norman Powell,Points (Combo),35.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Joel Embiid,Points,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Points,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Asts,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,,Standard,,False
Bam Adebayo,Pts+Rebs+Asts,34.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Bam Adebayo,Pts+Rebs,34.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Asts,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Joel Embiid,Pts+Rebs,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Joel Embiid,Pts+Rebs+Asts,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Norman Powell,Pts+Rebs,34.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Pts+Rebs+Asts,34.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Norman Powell,Pts+Asts,34.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Kelly Oubre + Tyler Herro,Points (Combo),34.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Tyler Herro,Pts+Rebs,34.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
VJ Edgecombe + Tyler Herro,Points (Combo),33.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Tyrese Maxey,Pts+Asts,33.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Joel Embiid,Pts+Asts,32.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,,Standard,,False
Tyrese Maxey,Pts+Rebs,32.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,,Standard,,False
Bam Adebayo,Pts+Rebs+Asts,32.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Kelly Oubre + Bam Adebayo,Points (Combo),32.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Norman Powell,Pts+Rebs+Asts,31.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Tyler Herro,Pts+Rebs+Asts,31.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Points,31.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Norman Powell,Fantasy Score,31.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,standard,False,Standard,,False
Bam Adebayo,Pts+Rebs+Asts,30.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,standard,,Standard,,False
Kelly Oubre + Andrew Wiggins,Points (Combo),30.5,MIA/PHI,2026-02-26T19:10:00.000-05:00,PHI/MIA,standard,False,Standard,,False
Joel Embiid,Pts+Asts,30.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Tyrese Maxey,Pts+Rebs,30.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,goblin,True,"Goblin (easier, lower payout)",,False
Andrew Wiggins,Fantasy Score,30.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,standard,False,Standard,,False
Tyler Herro,Fantasy Score,30.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,standard,False,Standard,,False
VJ Edgecombe,Fantasy Score,30.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,standard,False,Standard,,False
Joel Embiid,Points,29.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Tyrese Maxey,Points,29.5,MIA,2026-02-26T19:10:00.000-05:00,PHI,demon,True,"Demon (harder, higher payout)",,False
Norman Powell,Points,29.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Andrew Wiggins,Pts+Rebs+Asts,29.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
Norman Powell,Pts+Rebs+Asts,29.5,PHI,2026-02-26T19:10:00.000-05:00,MIA,demon,True,"Demon (harder, higher payout)",,False
